ID,pred
25318,0.10764347
25319,0.0048929662
25320,0.008747364
25321,0.9457043
25322,0.013011308
25323,0.0002506994
25324,0.0003656719
25325,0.00040692187
25326,0.004535169
25327,0.0475141
25328,0.94739354
25329,0.031826273
25330,0.00023861861
25331,0.00068556325
25332,0.0024740538
25333,0.009570946
25334,0.12093189
25335,0.0003175533
25336,0.0012305945
25337,0.055848945
25338,0.0011253634
25339,0.0020812647
25340,0.0021624917
25341,0.00478376
25342,0.36093184
25343,0.010143259
25344,0.0021379192
25345,0.0044329297
25346,0.07287575
25347,0.00025142616
25348,0.0011979332
25349,0.0038222247
25350,0.006474888
25351,0.0021323366
25352,0.007387064
25353,0.002980697
25354,0.01213879
25355,0.03985974
25356,0.07254683
25357,0.009888129
25358,0.045424916
25359,0.00081005495
25360,0.0036014328
25361,0.03129779
25362,0.014726226
25363,0.38259527
25364,0.00033259095
25365,0.0008437885
25366,0.0005675639
25367,0.0013437107
25368,0.43552542
25369,0.05326629
25370,0.0003767476
25371,0.17187671
25372,0.002701558
25373,0.0049013435
25374,0.07654767
25375,0.0004169911
25376,0.08428172
25377,0.00020811273
25378,0.006998687
25379,0.023229063
25380,0.00053117797
25381,0.0044655195
25382,0.0011393619
25383,0.2917069
25384,0.0019569937
25385,0.118334316
25386,0.0013343749
25387,0.011654807
25388,0.0041460805
25389,0.045957528
25390,0.0005072228
25391,0.006999349
25392,0.1450589
25393,0.07562347
25394,0.037799638
25395,0.028594367
25396,0.00023716017
25397,0.0026873692
25398,0.7003043
25399,0.023176279
25400,0.0015091067
25401,0.0021979117
25402,0.25182712
25403,0.013840616
25404,0.0017923546
25405,0.8091872
25406,0.0010053038
25407,0.011094785
25408,0.004372067
25409,0.004541076
25410,0.11794966
25411,0.001963938
25412,0.23946773
25413,0.98544633
25414,0.1854239
25415,0.18129593
25416,0.0016159905
25417,0.1668125
25418,0.00464412
25419,0.0023968185
25420,0.046925228
25421,0.0011177687
25422,0.00027038867
25423,0.0019183169
25424,0.004270513
25425,0.0019307443
25426,0.00023959707
25427,0.2869174
25428,0.0005153809
25429,0.13492408
25430,0.17568304
25431,0.021665923
25432,0.009080814
25433,0.0074445033
25434,0.63256013
25435,0.0013165176
25436,0.0018787886
25437,0.0020455206
25438,0.010570279
25439,0.36193368
25440,0.8161007
25441,0.25680643
25442,0.00017128696
25443,0.00085223565
25444,0.11618249
25445,0.005016795
25446,0.0720008
25447,0.036991157
25448,0.003497055
25449,0.034069546
25450,0.0024361948
25451,0.0013480688
25452,0.063191555
25453,0.0014277208
25454,0.9468031
25455,0.0013596293
25456,0.0006009847
25457,0.6461815
25458,0.4003304
25459,0.0018668621
25460,0.055443667
25461,0.0015263284
25462,0.0056295204
25463,0.16925637
25464,0.00499231
25465,0.0030096066
25466,0.046535436
25467,0.037854366
25468,0.11561459
25469,0.0013017922
25470,0.0022118378
25471,0.003164789
25472,0.0071335123
25473,0.01626943
25474,0.0011449417
25475,0.0009491385
25476,0.0014419559
25477,0.0017282105
25478,0.85487396
25479,0.001319389
25480,0.003918295
25481,0.035137206
25482,0.0019354849
25483,0.0011691238
25484,0.22131559
25485,0.14941928
25486,0.0132264495
25487,0.0009828672
25488,0.026481586
25489,0.52721435
25490,0.5615052
25491,0.4034023
25492,0.0068024076
25493,0.06657077
25494,0.041421615
25495,0.0058443258
25496,0.0074567953
25497,0.016101332
25498,0.0075698765
25499,0.0037444013
25500,0.00071640644
25501,0.006533753
25502,0.22334403
25503,0.0032309515
25504,0.0002167068
25505,0.28839582
25506,0.10009207
25507,0.0017883017
25508,0.0049602087
25509,0.0005459142
25510,0.014027684
25511,0.043020315
25512,0.01474523
25513,0.045561023
25514,0.00095403113
25515,0.33800396
25516,0.0016391457
25517,0.0006233019
25518,0.80654645
25519,0.004047518
25520,0.04315432
25521,0.040084798
25522,0.0007815195
25523,0.09656913
25524,0.0006255637
25525,0.3651009
25526,0.87131953
25527,0.047290687
25528,0.0014110188
25529,0.019445201
25530,0.0010951823
25531,0.0065574893
25532,0.0043048966
25533,0.017718498
25534,0.006698271
25535,0.2086368
25536,0.3514611
25537,0.000330962
25538,0.034265116
25539,0.7330217
25540,0.43218806
25541,0.079839535
25542,0.0024260934
25543,0.006166461
25544,0.005073818
25545,0.00029426083
25546,0.0046315445
25547,0.00031959976
25548,0.11088575
25549,0.0012761749
25550,0.003779765
25551,0.06382701
25552,0.5553762
25553,0.00048304588
25554,0.000570484
25555,0.041360926
25556,0.34167156
25557,0.0030052003
25558,0.0004099626
25559,0.00090854685
25560,0.017240401
25561,0.23422207
25562,0.00048771832
25563,0.0023392
25564,0.00410766
25565,0.0014534323
25566,0.010541812
25567,0.02555497
